Time,company,Open,High,Low,Last,Close,Volume
2024-04-22 19:52:34,Ralph Lauren Corp Class A (RL),160.34,161.82,158.88,161.76,158.46,63925556.0
2024-04-22 19:53:59,Ralph Lauren Corp Class A (RL),160.34,161.82,158.88,161.76,158.46,63925556.0
2024-04-22 20:35:30,Ralph Lauren Corp Class A (RL),160.34,162.49,158.88,162.32,158.46,63925556.0
2024-04-22 21:05:37,Ralph Lauren Corp Class A (RL),160.34,162.55,158.88,162.5,158.46,63925556.0
2024-04-22 21:35:45,Ralph Lauren Corp Class A (RL),160.34,162.69,158.88,162.24,158.46,63925556.0
2024-04-22 22:05:52,Ralph Lauren Corp Class A (RL),160.34,162.69,158.88,162.08,158.46,63925556.0
2024-04-22 22:15:15,Ralph Lauren Corp Class A (RL),160.34,162.69,158.88,161.93,158.46,63925556.0
2024-04-22 22:45:24,Ralph Lauren Corp Class A (RL),160.34,162.69,158.88,161.93,158.46,63925556.0
2024-04-22 23:15:32,Ralph Lauren Corp Class A (RL),160.34,162.69,158.88,161.71,158.46,63925556.0
2024-04-22 23:45:40,Ralph Lauren Corp Class A (RL),159.41,162.69,158.88,161.97,158.46,63925556.0
2024-04-23 00:15:47,Ralph Lauren Corp Class A (RL),159.41,162.69,158.88,161.97,158.46,63925556.0
2024-04-23 00:45:54,Ralph Lauren Corp Class A (RL),159.41,162.69,158.88,161.97,158.46,63925556.0
2024-04-23 01:16:01,Ralph Lauren Corp Class A (RL),159.41,162.69,158.88,161.97,158.46,63925556.0
2024-04-23 01:46:09,Ralph Lauren Corp Class A (RL),159.41,162.69,158.88,161.97,158.46,63925556.0
2024-04-23 02:16:16,Ralph Lauren Corp Class A (RL),159.41,162.69,158.88,161.97,158.46,63925556.0
2024-04-23 02:46:23,Ralph Lauren Corp Class A (RL),159.41,162.69,158.88,161.97,158.46,63925556.0
2024-04-23 03:16:30,Ralph Lauren Corp Class A (RL),159.41,162.69,158.88,161.97,158.46,63925556.0
2024-04-23 03:46:38,Ralph Lauren Corp Class A (RL),159.41,162.69,158.88,161.97,158.46,63925556.0
2024-04-23 04:16:45,Ralph Lauren Corp Class A (RL),159.41,162.69,158.88,161.97,158.46,63925556.0
2024-04-23 04:46:52,Ralph Lauren Corp Class A (RL),159.41,162.69,158.88,161.97,158.46,63925556.0
2024-04-23 05:17:03,Ralph Lauren Corp Class A (RL),159.41,162.69,158.88,161.97,158.46,63925556.0
2024-04-23 05:47:11,Ralph Lauren Corp Class A (RL),159.41,162.69,158.88,161.97,158.46,63925556.0
2024-04-23 06:17:18,Ralph Lauren Corp Class A (RL),159.41,162.69,158.88,161.97,158.46,63925556.0
2024-04-23 06:47:25,Ralph Lauren Corp Class A (RL),159.41,162.69,158.88,161.97,158.46,63925556.0
2024-04-23 07:17:32,Ralph Lauren Corp Class A (RL),159.41,162.69,158.88,161.97,158.46,63925556.0
2024-04-23 07:47:39,Ralph Lauren Corp Class A (RL),159.41,162.69,158.88,161.97,158.46,63925556.0
2024-04-23 08:17:46,Ralph Lauren Corp Class A (RL),159.41,162.69,158.88,161.97,158.46,63925556.0
2024-04-23 08:47:53,Ralph Lauren Corp Class A (RL),159.41,162.69,158.88,161.97,158.46,63925556.0
2024-04-23 09:18:37,Ralph Lauren Corp Class A (RL),159.41,162.69,158.88,161.97,158.46,63925556.0
2024-04-23 09:48:44,Ralph Lauren Corp Class A (RL),159.41,162.69,158.88,161.97,158.46,63925556.0
2024-04-23 10:18:58,Ralph Lauren Corp Class A (RL),159.41,162.69,158.88,161.97,158.46,63925556.0
2024-04-23 10:49:06,Ralph Lauren Corp Class A (RL),159.41,162.69,158.88,161.97,158.46,63925556.0
2024-04-23 11:19:15,Ralph Lauren Corp Class A (RL),159.41,162.69,158.88,161.97,158.46,63925556.0
2024-04-23 11:42:18,Ralph Lauren Corp Class A (RL),159.41,162.69,158.88,161.97,158.46,63925556.0
2024-04-23 12:12:36,Ralph Lauren Corp Class A (RL),159.41,162.69,158.88,161.97,158.46,63925556.0
2024-04-23 12:42:44,Ralph Lauren Corp Class A (RL),159.41,162.69,158.88,161.97,158.46,63925556.0
2024-04-23 13:12:52,Ralph Lauren Corp Class A (RL),159.41,162.69,158.88,161.97,158.46,63925556.0
2024-04-23 13:42:59,Ralph Lauren Corp Class A (RL),159.41,162.69,158.88,161.97,158.46,63925556.0
2024-04-23 14:13:06,Ralph Lauren Corp Class A (RL),159.41,162.69,158.88,161.97,158.46,63925556.0
2024-04-23 14:43:14,Ralph Lauren Corp Class A (RL),159.41,162.69,158.88,161.97,158.46,63925556.0
2024-04-23 15:13:22,Ralph Lauren Corp Class A (RL),159.41,162.69,158.88,161.97,158.46,63925556.0
2024-04-23 15:43:29,Ralph Lauren Corp Class A (RL),159.41,162.69,158.88,161.97,158.46,63925556.0
2024-04-23 16:13:37,Ralph Lauren Corp Class A (RL),163.1,164.36,162.76,163.86,161.97,63925556.0
2024-04-23 16:43:45,Ralph Lauren Corp Class A (RL),163.1,167.15,162.76,166.46,161.97,63925556.0
2024-04-23 17:13:56,Ralph Lauren Corp Class A (RL),163.1,167.15,162.76,167.03,161.97,63925556.0
2024-04-23 17:44:03,Ralph Lauren Corp Class A (RL),163.1,167.15,162.76,166.54,161.97,63925556.0
2024-04-23 18:14:11,Ralph Lauren Corp Class A (RL),163.1,167.15,162.76,166.97,161.97,63925556.0
2024-04-23 18:44:18,Ralph Lauren Corp Class A (RL),163.1,167.32,162.76,167.29,161.97,63925556.0
2024-04-23 19:14:26,Ralph Lauren Corp Class A (RL),163.1,167.15,162.76,166.71,161.97,63925556.0
2024-04-23 19:44:34,Ralph Lauren Corp Class A (RL),163.1,167.84,162.76,167.44,161.97,63925556.0
2024-04-23 20:14:41,Ralph Lauren Corp Class A (RL),163.1,167.52,162.76,167.33,161.97,63925556.0
2024-04-23 20:44:48,Ralph Lauren Corp Class A (RL),163.1,168.35,162.76,168.35,161.97,63925556.0
2024-04-23 21:14:56,Ralph Lauren Corp Class A (RL),163.1,168.07,162.76,168.04,161.97,63925556.0
2024-04-23 21:45:03,Ralph Lauren Corp Class A (RL),163.1,168.74,162.76,168.22,161.97,63925556.0
2024-04-23 22:15:10,Ralph Lauren Corp Class A (RL),163.1,168.74,162.76,168.0,161.97,63925556.0
2024-04-23 22:34:32,Ralph Lauren Corp Class A (RL),163.1,168.74,162.76,167.93,161.97,63925556.0
2024-04-23 23:04:40,Ralph Lauren Corp Class A (RL),163.1,168.74,162.76,168.0,161.97,63925556.0
2024-04-23 23:34:48,Ralph Lauren Corp Class A (RL),163.1,168.74,162.76,168.0,161.97,63925556.0
2024-04-24 00:04:55,Ralph Lauren Corp Class A (RL),163.1,168.74,162.76,168.0,161.97,63925556.0
2024-04-24 00:35:02,Ralph Lauren Corp Class A (RL),163.1,168.74,162.76,168.0,161.97,63925556.0
2024-04-24 01:05:09,Ralph Lauren Corp Class A (RL),163.1,168.74,162.76,168.0,161.97,63925556.0
2024-04-24 01:35:17,Ralph Lauren Corp Class A (RL),163.1,168.74,162.76,168.0,161.97,63925556.0
2024-04-24 02:05:24,Ralph Lauren Corp Class A (RL),163.1,168.74,162.76,168.0,161.97,63925556.0
2024-04-24 02:35:31,Ralph Lauren Corp Class A (RL),163.1,168.74,162.76,168.0,161.97,63925556.0
2024-04-24 03:05:39,Ralph Lauren Corp Class A (RL),163.1,168.74,162.76,168.0,161.97,63925556.0
2024-04-24 03:35:46,Ralph Lauren Corp Class A (RL),163.1,168.74,162.76,168.0,161.97,63925556.0
